2018-09-24 12:18:56,006 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-09-24 12:21:28,148 [Worker-8: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.opteamix:java-restful-demo:0.0.1-SNAPSHOT @ C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\pom.xml.
2018-09-24 12:21:30,114 [Worker-8: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /java-restful-demo/src
2018-09-24 12:21:30,115 [Worker-8: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /java-restful-demo/src/test/java because it overlaps with /java-restful-demo/src
2018-09-24 12:21:30,557 [Worker-14: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:21:30,559 [Worker-14: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:21:30,563 [Worker-14: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:21:30,564 [Worker-14: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
2018-09-24 12:21:30,688 [Worker-8: Enabling Maven Dependency Management] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-09-24 12:21:31,089 [Worker-8: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.opteamix:java-restful-demo:0.0.1-SNAPSHOT @ C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\pom.xml.
2018-09-24 12:21:31,985 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
